Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
"PORTER BANCORP, INC.",2006-09-22,NASDAQ,37200000,24,1550000,PBIB,-0.051133945,-0.053608207,-0.063505114,-0.089896864
HARVEST OIL & GAS CORP.,2006-09-27,NASDAQ,78000000,20,3900000,EVEP,-0.019900448,-0.052238856,-0.016915423,0.117412886
"OMNI FINANCIAL SERVICES, INC.",2006-09-29,NASDAQ,31825000,9.5,3350000,OFSI,0.059,0.0576,0.09,0.02
WESTERN UNION CO,2006-10-02,New York Stock Exchange,422400000,19.2,22000000,WU,0.035937394,0.036458279,0.144791607,0.15468744
ACME PACKET INC,2006-10-13,NASDAQ,109008016,9.5,11474528,APKT,0.136428571,0.164285643,0.110714286,0.299285786
LEMAITRE VASCULAR INC,2006-10-19,NASDAQ,38500000,7,5500000,LMAT,-0.069230769,-0.033846154,-0.076923077,-0.029230769
OWENS CORNING,2006-11-01,New York Stock Exchange,1855092669,28.05,66135211,OC,-0.026501768,-0.030035266,0.067137882,0.014134347
SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,2006-11-01,NASDAQ,25004000,14,1786000,SONA,0.065333325,0.140000003,0.10666663,0.069999965
"CATALYST PHARMACEUTICALS, INC.",2006-11-08,NASDAQ,20100000,6,3350000,CPRX,0.023333333,0.023333333,-0.083333333,-0.05
CANADIAN SOLAR INC.,2006-11-09,NASDAQ,115500000,15,7700000,CSIQ,0.036082474,-0.027706186,-0.280283505,-0.286082474
EMERGENT BIOSOLUTIONS INC.,2006-11-15,New York Stock Exchange,62500000,12.5,5000000,EBS,-0.056,-0.1152,-0.2,0.2016
ALLOT COMMUNICATIONS LTD.,2006-11-16,NASDAQ,78000000,12,6500000,ALLT,-0.035862069,-0.146206897,-0.294482759,-0.35862069
HERC HOLDINGS INC,2006-11-16,New York Stock Exchange,1323525000,15,88235000,HTZ,0.048,0.02,0.080000067,0.404666667
"FIRST SOLAR, INC.",2006-11-17,NASDAQ,400000000,20,20000000,FSLR,0.007755143,0.158775469,0.196734694,0.838775469
AERCAP HOLDINGS N.V.,2006-11-21,New York Stock Exchange,600300000,23,26100000,AER,-0.08,-0.0728,-0.08480004,0.066
"WILLDAN GROUP, INC.",2006-11-21,NASDAQ,29000000,10,2900000,WLDN,0.045499505,0.002967359,-0.008902077,-0.096933729
NORTH AMERICAN CONSTRUCTION GROUP LTD.,2006-11-22,New York Stock Exchange,200000000,16,12500000,NOA,0.058064516,0.058064516,0.032258065,0.190322645
CENTRAL NORTH AIRPORT GROUP,2006-11-29,NASDAQ,187904340,18,10439130,OMAB,-0.032727227,-0.006818182,-0.013636318,0.027272727
ALLEGIANT TRAVEL CO,2006-12-08,NASDAQ,90000000,18,5000000,ALGT,0.045833333,0.193333292,0.122500042,0.370416625
AEGEAN MARINE PETROLEUM NETWORK INC.,2006-12-08,New York Stock Exchange,175000000,14,12500000,ANW,0.072666667,0.030666667,0.027333333,0.1366666
"OBAGI MEDICAL PRODUCTS, INC.",2006-12-14,NASDAQ,58850000,11,5350000,OMPI,-0.090497738,-0.07239819,-0.124886878,0.059728507
AFFYMAX INC,2006-12-15,NASDAQ,92500000,25,3700000,AFFY,0.0836666,0.175,0.093000033,0.059999967
ALTRA INDUSTRIAL MOTION CORP.,2006-12-15,NASDAQ,135000000,13.5,10000000,AIMC,0.02962963,0.040740741,0.068148148,0.017037037
"CARROLS RESTAURANT GROUP, INC.",2006-12-15,NASDAQ,130000000,13,10000000,TAST,0.080727273,0.036363636,0.018909091,-0.039272727
"FUWEI FILMS (HOLDINGS), CO. LTD.",2006-12-19,NASDAQ,31050000,8.28,3750000,FFHL,0.374853114,0.606345476,0.602820212,-0.023501763
DB MULTI-SECTOR COMMODITY MASTER TRUST,2007-01-05,American Stock Exchange,25000000,25,1000000,DBA,0.040513478,0.014841516,0.044925752,0.009626955
AEROVIRONMENT INC,2007-01-23,NASDAQ,113900000,17,6700000,AVAV,-0.03,-0.08760004,-0.1,-0.0792
ORITANI FINANCIAL CORP.,2007-01-24,NASDAQ,105788250,10,10578825,ORIT,0.0433333,0.0186666,0.0333333,0.016
"JA SOLAR HOLDINGS CO., LTD.",2007-02-07,NASDAQ,225000000,15,15000000,JASO,-0.048268584,-0.039874062,-0.027806916,0.291185735
3SBIO INC.,2007-02-07,NASDAQ,123200000,16,7700000,SSRX,-0.153714286,-0.057142857,-0.330857143,-0.434285714
"MELLANOX TECHNOLOGIES, LTD.",2007-02-08,NASDAQ,102000000,17,6000000,MLNX,-0.0005,0.04049995,-0.06000005,-0.08500005
"NATIONAL CINEMEDIA, INC.",2007-02-08,NASDAQ,798000000,21,38000000,NCMI,-0.00745102,0.019607843,0.074509804,0.025490196
OPTIMER PHARMACEUTICALS INC,2007-02-09,NASDAQ,49000000,7,7000000,OPTR,0.16,0.24,0.308,0.346666667
CLEARWIRE CORP,2007-03-08,NASDAQ,600000000,25,24000000,CLWR,-0.089908294,-0.240000037,-0.241100917,-0.271926606
GAFISA S.A.,2007-03-16,New York Stock Exchange,389503317,24.88,15655278,GFA,-0.006346711,0.083300208,0.093613595,0.282824254
"CHENIERE ENERGY PARTNERS, L.P.",2007-03-21,American Stock Exchange,283500000,21,13500000,CQP,-0.004545455,-0.031818227,-0.018181818,-0.090909091
GLU MOBILE INC,2007-03-22,NASDAQ,83950000,11.5,7300000,GLUU,0.071304348,-0.042608696,0.039130435,0.173043478
"SUPER MICRO COMPUTER, INC.",2007-03-29,NASDAQ,64000000,8,8000000,SMCI,-0.002259887,0.13220339,0.142372881,0.189830508
"UNITED STATES NATURAL GAS FUND, LP",2007-04-18,American Stock Exchange,1500000000,50,30000000,UNG,-0.001984172,0.021626987,0.022817414,-0.163492092
TFS FINANCIAL CORP,2007-04-23,NASDAQ,871301020,10,87130102,TFSL,-0.052757794,-0.057553957,-0.004796163,-0.123101519
"CINEMARK HOLDINGS, INC.",2007-04-24,New York Stock Exchange,532000000,19,28000000,CNK,-0.004736842,-0.005263158,0.031578947,-0.057894737
"OCEAN POWER TECHNOLOGIES, INC.",2007-04-25,NASDAQ,100000000,20,5000000,OPTT,-0.1225,-0.281500015,-0.14199997,-0.1525
"CAVIUM, INC.",2007-05-02,NASDAQ,91125000,13.5,6750000,CAVM,-0.001818242,0.036363636,0.301818182,0.577575818
"ACORN INTERNATIONAL, INC.",2007-05-03,New York Stock Exchange,119350000,15.5,7700000,ATV,0.105527634,0.201004937,0.4447236,0.002010015
"PHARMA-BIO SERV, INC.",2007-05-07,OTCBB,11744572,0.56,20972450,PBSV,-0.129032258,-0.129032258,-0.290322581,-0.096774194
AECOM,2007-05-10,New York Stock Exchange,703000000,20,35150000,ACM,0.001421754,0.106161137,0.061611374,0.298578199
JMP GROUP INC.,2007-05-11,New York Stock Exchange,87990078,11,7999098,JMP,0.072173913,0.008695652,-0.065217391,-0.4
INSULET CORP,2007-05-15,NASDAQ,115500000,15,7700000,PODD,-0.061764706,-0.082941176,-0.161176471,-0.102941176
TECHTARGET INC,2007-05-17,NASDAQ,100100000,13,7700000,TTGT,0.026896552,0.013793103,0.025517241,-0.100689655
"GREENLIGHT CAPITAL RE, LTD.",2007-05-24,NASDAQ,194750000,19,10250000,GLRE,0.048260913,0.029130435,0.017391304,-0.14173913
CLEAN ENERGY FUELS CORP.,2007-05-25,NASDAQ,120000000,12,10000000,CLNE,0.003333333,0.116666667,0.041666667,-0.015
AMICUS THERAPEUTICS INC,2007-05-31,NASDAQ,75000000,15,5000000,FOLD,-0.1,-0.13125,-0.275,-0.27375
INFINERA CORP,2007-06-07,NASDAQ,182000000,13,14000000,INFN,0.340398919,0.487531142,0.385910138,0.140274305
"LIMELIGHT NETWORKS, INC.",2007-06-08,NASDAQ,240000000,15,16000000,LLNW,-0.016843928,-0.124556699,-0.023936127,-0.621010621
AUTHENTEC INC,2007-06-27,NASDAQ,82500000,11,7500000,AUTH,-0.069090909,-0.001818182,0.137272727,-0.054545455
SPREADTRUM COMMUNICATIONS INC,2007-06-27,NASDAQ,125897800,14,8992700,SPRD,0.107746479,0.003521127,0.019014085,-0.1
BENEFICIAL MUTUAL BANCORP INC,2007-07-16,NASDAQ,205275000,10,20527500,BNCL,0.006458509,0.02152856,-0.025834154,0.074273444
REX ENERGY CORP,2007-07-25,NASDAQ,105600000,11,9600000,REXX,-0.068181818,-0.059090909,-0.160909091,-0.125454545
LULULEMON ATHLETICA INC.,2007-07-27,NASDAQ,327600000,18,18200000,LULU,0.1544,0.378,0.3692,1.082
CONCHO RESOURCES INC,2007-08-03,New York Stock Exchange,240201731,11.5,20887107,CXO,0.119724376,0.095607235,0.093023256,0.877691559
VIRTUSA CORP,2007-08-03,NASDAQ National Market,61600000,14,4400000,VRTU,-0.103703704,-0.035555556,0.051111111,0.262222296
MASIMO CORP,2007-08-08,NASDAQ,202582642,17,11916626,MASI,0.052631579,0.078947368,0.128947421,0.781578842
MERCADOLIBRE INC,2007-08-10,NASDAQ,289389330,18,16077185,MELI,0.418181864,0.378181818,0.352272727,0.963636409
DUFF & PHELPS CORP,2007-09-28,New York Stock Exchange,132800000,16,8300000,DUF,0.070588294,0.202941235,0.235294118,0.099411824
"BEACON FEDERAL BANCORP, INC.",2007-10-02,Nasdaq National market,94875000,10,9487500,BFED,-0.033442088,-0.029363785,-0.106035889,-0.168026101
"MAP PHARMACEUTICALS, INC.",2007-10-05,NASDAQ,60000000,12,5000000,MAPP,0.098039216,0.058823529,0.094117647,0.373333333
TEXTAINER GROUP HOLDINGS LTD,2007-10-10,New York Stock Exchange,148500000,16.5,9000000,TGH,0.037837898,-0.003003003,-0.028828829,-0.117117117
CVR ENERGY INC,2007-10-23,New York Stock Exchange,380000000,19,20000000,CVI,-0.038004705,0.112114067,0.040855156,0.179572503
"PZENA INVESTMENT MANAGEMENT, INC.",2007-10-25,New York Stock Exchange,109800000,18,6100000,PZN,-0.03414639,-0.058536634,-0.330731707,-0.524390244
"NOVABAY PHARMACEUTICALS, INC.",2007-10-26,American Stock Exchange,20000000,4,5000000,NBY,-0.130952381,-0.04047619,-0.121428571,-0.142857143
"ARYX THERAPEUTICS, INC.",2007-11-07,NASDAQ,50000000,10,5000000,ARYX,-0.077777778,-0.174444444,-0.21,-0.11
"NORTHFIELD BANCORP, INC.",2007-11-08,Nasdaq national Market,167524490,10,16752449,NFBK,0.062874282,0.12275445,0.044910161,0.036926092
AMERICAN PUBLIC EDUCATION INC,2007-11-09,NASDAQ,93750000,20,4687500,APEI,0.142666633,0.152333333,0.425,0.266666667
"ENSIGN GROUP, INC",2007-11-09,NASDAQ,64000000,16,4000000,ENSG,0.025641086,0.046794847,0.032692261,-0.367948678
NAVIOS MARITIME PARTNERS L.P.,2007-11-13,New York Stock Exchange,200000000,20,10000000,NMM,0.000519481,-0.072727273,-0.038961039,-0.167792208
OCH-ZIFF CAPITAL MANAGEMENT GROUP LLC,2007-11-14,New York Stock Exchange,1152000000,32,36000000,OZM,-0.079389313,-0.291603023,-0.196946595,-0.339236672
TRIPLE-S MANAGEMENT CORP,2007-12-07,New York Stock Exchange,203000000,14.5,14000000,GTS,0.030405405,0.25,0.256756757,0.405405338
VANCEINFO TECHNOLOGIES INC.,2007-12-12,New York Stock Exchange,65025000,8.5,7650000,VIT,-0.101983003,-0.10292729,-0.282341832,-0.430594901
K12 INC,2007-12-13,New York Stock Exchange,108000000,18,6000000,LRN,0.250632962,0.493670886,0.316455696,0.174683595
TEEKAY TANKERS LTD.,2007-12-13,New York Stock Exchange,195000000,19.5,10000000,TNK,0.01721519,0.10329119,-0.122025316,-0.180253114
ACCELERIZE INC.,2008-01-09,OTCBB,12619889,0.75,16826519,ACLZ,0.4,0.38,0.4,0.44
MERIDIAN INTERSTATE BANCORP INC,2008-01-23,NASDAQ,100500000,10,10050000,EBSB,0.162227716,0.150121081,0.157385062,0.198547026
WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,2008-01-24,American Stock Exchange,1200000000,30,40000000,GCC,0.017733957,0.036453135,0.136288895,0.137931063
RENESOLA LTD,2008-01-29,New York Stock Exchange,130000000,13,10000000,SOL,0.01146789,0.019877676,-0.144495413,0.321100994
"HERITAGE-CRYSTAL CLEAN, INC.",2008-03-12,NASDAQ,22011000,11.5,1914000,HCCI,-0.014285714,0.010714286,0.092857143,0.035714286
"CARDIONET, INC.",2008-03-19,NASDAQ,81000000,18,4500000,BEAT,-0.016666611,-0.027777778,0.102777778,0.463333333
VISA INC.,2008-03-19,New York Stock Exchange,17864000000,44,406000000,V,-0.018487395,0.076470655,0.113613513,0.34890763
"MAIDEN HOLDINGS, LTD.",2008-05-06,Nasdaq Smallcap Market,460647000,8.1,56870000,MHLD,-0.2,-0.211,-0.249,-0.351
COLFAX CORP,2008-05-08,New York Stock Exchange,337500000,18,18750000,CFX,-0.089333333,0.054666667,0.089333333,0.156
WESTERN GAS PARTNERS LP,2008-05-09,New York Stock Exchange,309375000,16.5,18750000,WES,-0.007272788,0.012121273,-0.009090909,-0.081818182
"SINO-GLOBAL SHIPPING AMERICA, LTD.",2008-05-21,Nasdaq Smallcap Market,8749998,7.75,1129032,SINO,-0.019333333,0.000666667,-0.196,-0.54
"ENERGY RECOVERY, INC.",2008-07-02,NASDAQ,119000000,8.5,14000000,ERII,-0.091818182,0.027272727,0.018181818,-0.181818182
CHINA DISTANCE EDUCATION HOLDINGS LTD,2008-07-30,New York Stock Exchange,61250000,7,8750000,DL,0.02,0.013846154,-0.449230769,-0.387692308
"GRAND CANYON EDUCATION, INC.",2008-11-20,NASDAQ,126000000,12,10500000,LOPE,0.2,0.607,0.7299999,0.809
CHANGYOU.COM LTD,2009-04-02,NASDAQ,120000000,16,7500000,CYOU,-0.110909136,0.090909091,0.432727273,1.124545545
"MEDIDATA SOLUTIONS, INC.",2009-06-25,NASDAQ,88200000,14,6300000,MDSO,-0.074444444,-0.080555556,-0.056666667,-0.087222222
"LOGMEIN, INC.",2009-07-01,NASDAQ,106666672,16,6666667,LOGM,-0.01549995,-0.03450005,0.005,-0.1045
TERRITORIAL BANCORP INC.,2009-07-13,NASDAQ,106375000,10,10637500,TBNK,0.066903915,0.042704626,0.058362989,0.111743772
GLOBE SPECIALTY METALS INC,2009-07-30,NASDAQ,98000000,7,14000000,GSM,0.014285714,0.257142857,0.221428571,0.224285714
PENNYMAC MORTGAGE INVESTMENT TRUST,2009-07-30,New York Stock Exchange,320000000,20,16000000,PMT,0.010000053,0.007894737,0.030526316,0.003157842
"RECON TECHNOLOGY, LTD",2009-07-30,NASDAQ,10200000,6,1700000,RCON,-0.041666667,0.525,0.086666667,0.188333333
"STARWOOD PROPERTY TRUST, INC.",2009-08-12,New York Stock Exchange,810000000,20,40500000,STWD,0.024615109,-0.020512909,0.008205036,0.010256136
LIHUA INTERNATIONAL INC.,2009-09-04,NASDAQ,9200000,4,2300000,LIWA,0.232608696,0.27826087,1.065217391,0.793478261
ETFS GOLD TRUST,2009-09-09,New York Stock Exchange,1088780000,98.98,11000000,SGOL,-0.007731173,0.020618526,0.043639204,0.210989822
"UNITED STATES SHORT OIL FUND, LP",2009-09-24,New York Stock Exchange,1305000000,52.2,25000000,DNO,-0.027772148,-0.064666038,-0.164698918,-0.085793015
"ECHO GLOBAL LOGISTICS, INC.",2009-10-02,NASDAQ,79800000,14,5700000,ECHO,0.042105263,-0.040601504,-0.007518797,-0.04887218
BANCO SANTANDER (BRASIL) S.A.,2009-10-07,New York Stock Exchange,7035000000,13.4,525000000,BSBR,-0.042105263,0.001503759,-0.069172932,0.057894737
"VERISK ANALYTICS, INC.",2009-10-07,NASDAQ,1875500000,22,85250000,VRSK,0.012222222,0.009259259,0.012222222,0.126296296
"MISTRAS GROUP, INC.",2009-10-08,New York Stock Exchange,108750000,12.5,8700000,MG,0.024390244,0.081300813,-0.000813008,0.212195122
OMEROS CORP,2009-10-08,NASDAQ,68200000,10,6820000,OMER,-0.003409091,-0.153409091,-0.248863636,-0.176136364
"ZST DIGITAL NETWORKS, INC.",2009-10-20,NASDAQ,25000000,8,3125000,ZSTN,-0.05375,-0.08375,-0.18875,0.3625
ADDUS HOMECARE CORP,2009-10-28,NASDAQ,54000000,10,5400000,ADUS,-0.068085106,-0.090425532,-0.14787234,-0.04893617
"VITAMIN SHOPPE, INC.",2009-10-28,New York Stock Exchange,154633309,17,9096077,VSI,-0.06,-0.020512821,-0.028205077,0.103076923
"STR HOLDINGS, INC.",2009-11-06,New York Stock Exchange,123000000,10,12300000,STRI,0.349000033,0.275,0.340000033,0.725
DOLLAR GENERAL CORP,2009-11-13,New York Stock Exchange,716100000,21,34100000,DG,0.040909091,0.022727273,0.058636409,-0.001363682
"RUE21, INC.",2009-11-13,NASDAQ,128543303,19,6765437,RUE,0.103773585,0.069182345,0.203504088,0.27852646
PEBBLEBROOK HOTEL TRUST,2009-12-09,New York Stock Exchange,350000000,20,17500000,PEB,0.05,0.0575,0.0705,0.07
CHINA NUOKANG BIO-PHARMACEUTICAL INC.,2009-12-10,NASDAQ,45000000,9,5000000,NKBP,0.125,0.03875,0.0425,-0.09
CONCORD MEDICAL SERVICES HOLDINGS LTD,2009-12-11,New York Stock Exchange,132000000,11,12000000,CCM,-0.041000043,-0.11800005,-0.032000081,-0.114000054
"PIEDMONT OFFICE REALTY TRUST, INC.",2010-02-10,New York Stock Exchange,174000000,14.5,12000000,PDM,0.05559322,0.105084678,0.179661017,0.328813559
ANTHERA PHARMACEUTICALS INC,2010-03-01,NASDAQ,42000000,7,6000000,ANTH,0.007142884,0.001428605,0.005714281,-0.101428576
SENSATA TECHNOLOGIES HOLDING PLC,2010-03-11,New York Stock Exchange,568800000,18,31600000,ST,0.027777778,0.011111167,0.027777778,-0.076111167
AVEO PHARMACEUTICALS INC,2010-03-12,NASDAQ,81000000,9,9000000,AVEO,0.048484848,0.060606061,0.111515152,0.003636364
"FINANCIAL ENGINES, INC.",2010-03-16,NASDAQ,127200000,12,10600000,FNGN,0.1413334,0.259333267,0.152666733,-0.098
"CALIX, INC",2010-03-24,New York Stock Exchange,82276116,13,6328932,CALX,-0.097058824,-0.2,-0.147058824,-0.334705882
MAXLINEAR INC,2010-03-24,New York Stock Exchange,90217400,14,6444100,MXL,0.052924732,0.002785459,-0.041782727,-0.108635147
HUAZHU GROUP LTD,2010-03-26,NASDAQ,110250000,12.25,9000000,HTHT,0.045925926,0.226666667,0.239259259,0.10962963
SS&C TECHNOLOGIES HOLDINGS INC,2010-03-31,NASDAQ,160875000,15,10725000,SSNC,-0.046875,-0.054375,0.0375,0.01125
SCORPIO TANKERS INC.,2010-03-31,New York Stock Exchange,162500000,13,12500000,STNG,-0.001568627,-0.024313725,-0.001568627,-0.099607843
"PRIMERICA, INC.",2010-04-01,New York Stock Exchange,320400000,15,21360000,PRI,0.056396867,0.140469974,0.261096606,0.183289817
MITEL NETWORKS CORP,2010-04-22,NASDAQ,147368424,14,10526316,MITL,-0.035294118,-0.066666667,-0.11372549,-0.280784314
SPS COMMERCE INC,2010-04-22,NASDAQ,49160328,12,4096694,SPSC,-0.012142857,-0.035,-0.089285714,-0.255714286
ALPHA & OMEGA SEMICONDUCTOR LTD,2010-04-29,NASDAQ,91547730,18,5085985,AOSL,-0.019878574,-0.065157423,-0.213141954,-0.290447306
"TELENAV, INC.",2010-05-13,NASDAQ,56000000,8,7000000,TNAV,0.111111111,-0.056666667,-0.056666667,-0.443333333
"JINKOSOLAR HOLDING CO., LTD.",2010-05-14,New York Stock Exchange,64185000,11,5835000,JKS,0.004545455,-0.230909091,-0.101818182,0.843636455
"GENMARK DIAGNOSTICS, INC.",2010-05-28,NASDAQ,27600000,6,4600000,GNMK,-0.081415929,-0.134513274,-0.251327434,-0.267256637
"UNITED STATES BRENT OIL FUND, LP",2010-06-02,New York Stock Exchange,2548500000,50.97,50000000,BNO,0.009024877,-0.004120149,0.004512419,-0.005297273
TEUCRIUM COMMODITY TRUST,2010-06-09,New York Stock Exchange,750000000,25,30000000,CORN,0.013534952,0.045382124,0.065684671,0.18391715
"CBOE GLOBAL MARKETS, INC.",2010-06-15,NASDAQ,339300000,29,11700000,CBOE,-0.013109756,-0.012804817,-0.165548725,-0.313719491
OASIS PETROLEUM INC.,2010-06-17,New York Stock Exchange,588000000,14,42000000,OAS,0.004713805,0.020875421,0.082828283,0.193939394
"HUDSON PACIFIC PROPERTIES, INC.",2010-06-24,New York Stock Exchange,217600000,17,12800000,HPP,-0.008571429,-0.014285714,-0.085714286,-0.052571429
FABRINET,2010-06-25,New York Stock Exchange,85000000,10,8500000,FN,-0.01826484,-0.031050228,-0.042009132,0.434703196
ENERGY CORP OF AMERICA,2010-07-01,New York Stock Exchange,176050000,20,8802500,ECT,0.0005,0.025,-0.01000005,-0.008
GREEN DOT CORP,2010-07-22,New York Stock Exchange,164089800,36,4558050,GDOT,0.014831958,0.003476176,0.026882942,0.132097236
NXP SEMICONDUCTORS N.V.,2010-08-06,NASDAQ,476000000,14,34000000,NXPI,0.076923077,-0.057692308,-0.084615385,0.020769231
UNITED STATES COMMODITY INDEX FUNDS TRUST,2010-08-10,New York Stock Exchange,2500000000,50,50000000,USCI,0.033579853,0.010393764,0.038177095,0.177493527
MAKEMYTRIP LTD,2010-08-12,NASDAQ,70000000,14,5000000,MMYT,0.220454545,0.437272773,0.685909091,0.511363636
"ELECTROMED, INC.",2010-08-13,NASDAQ,6800000,4,1700000,ELMD,-0.014814815,-0.039506173,-0.135802469,-0.09382716
WHITESTONE REIT,2010-08-26,American Stock Exchange,26400000,12,2200000,WSR,-0.041666667,-0.025,-0.004166667,0.1875
CORESITE REALTY CORP,2010-09-23,New York Stock Exchange,270400000,16,16900000,COR,0.006875063,0.030625,-0.0625,-0.184375
CHINACACHE INTERNATIONAL HOLDINGS LTD.,2010-10-01,NASDAQ,84247622,13.9,6060980,CCIH,0.00037037,-0.144074037,-0.094814778,-0.152222259
DAQO NEW ENERGY CORP.,2010-10-07,New York Stock Exchange,76000000,9.5,8000000,DQ,0.027054067,0.292585119,0.367735416,0.036072123
STANDARD AVB FINANCIAL CORP.,2010-10-07,Nasdaq Smallcap Market,34500000,10,3450000,STND,0.081818182,0.077272727,0.163636364,0.259090909
"TOWER INTERNATIONAL, INC.",2010-10-15,New York Stock Exchange,81250000,13,6250000,TOWR,-0.042804428,-0.041328413,0.039852399,0.348339483
"FOODFIRST GLOBAL RESTAURANTS, INC.",2010-10-21,NASDAQ,140000000,14,10000000,BBRG,0.102758621,0.166206897,0.280689655,0.249655241
"VERA BRADLEY, INC.",2010-10-21,NASDAQ,176000000,16,11000000,VRA,0.080434783,0.272173913,0.226956478,0.592608739
ETFS PRECIOUS METALS BASKET TRUST,2010-10-22,New York Stock Exchange,1398240000,77.68,18000000,GLTR,0.015845728,0.024164729,0.062854811,0.134556907
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",2010-10-27,NASDAQ,200000000,16,12500000,PACB,-0.000606061,0.011515212,-0.272121212,-0.126666667
SPROTT PHYSICAL SILVER TRUST,2010-10-29,New York Stock Exchange,500000000,10,50000000,PSLV,0.006,0.075,0.163,0.187
SODASTREAM INTERNATIONAL LTD.,2010-11-03,NASDAQ,108947360,20,5447368,SODA,0.107070707,0.326868687,0.293737374,0.624242465
COSTAMARE INC.,2010-11-04,New York Stock Exchange,159600000,12,13300000,CMRE,-0.0125,-0.104166667,-0.010833333,0.291666667
PRIMO WATER CORP,2010-11-05,NASDAQ,99999996,12,8333333,PRMW,-0.133333333,-0.132,-0.192666667,-0.16
NOAH HOLDINGS LTD,2010-11-10,New York Stock Exchange,100800000,12,8400000,NOAH,0.037333333,0.033333333,0.176666667,0.0793334
GENERAL MOTORS CO,2010-11-18,New York Stock Exchange,15774000000,33,478000000,GM,-0.024285657,-0.045428571,-0.042000029,0.033999971
LPL FINANCIAL HOLDINGS INC.,2010-11-18,NASDAQ,469724460,30,15657482,LPLA,-0.037821484,-0.027836552,0.0193646,-0.001512829
ETFS WHITE METALS BASKET TRUST,2010-12-03,New York Stock Exchange,485400000,48.54,10000000,WITE,0.016562022,-0.02646107,0.052351038,0.138968268
TARGA RESOURCES CORP.,2010-12-07,New York Stock Exchange,360250000,22,16375000,TRGP,0.017012448,0.095435685,0.120746888,0.35767639
"GAIN CAPITAL HOLDINGS, INC.",2010-12-15,New York Stock Exchange,81000000,9,9000000,GCAP,-0.022099448,-0.067403315,0.048618785,-0.095027624
"RIGNET, INC.",2010-12-15,NASDAQ,60000000,12,5000000,RNET,0.041666667,0.1575,0.198333333,0.415833333
"WALKER & DUNLOP, INC.",2010-12-15,New York Stock Exchange,100000000,10,10000000,WD,-0.01,-0.015,0.02,0.232
OSSEN INNOVATION CO. LTD.,2010-12-21,NASDAQ,22500000,4.5,5000000,OSN,-0.028888889,-0.031111111,-0.004444444,-0.177777778
"AMERICAN ASSETS TRUST, INC.",2011-01-13,New York Stock Exchange,563750000,20.5,27500000,AAT,-0.017185368,-0.010682861,-0.019507663,-0.008824942
BCD SEMICONDUCTOR MANUFACTURING LTD,2011-01-28,NASDAQ,63000000,10.5,6000000,BCDS,0.008571429,0.044761905,-0.001904762,-0.083809524
"BANKUNITED, INC.",2011-01-28,New York Stock Exchange,783000000,27,29000000,BKU,-0.037627153,-0.037288136,-0.023728847,-0.020338983
INTERXION HOLDING N.V.,2011-01-28,New York Stock Exchange,264878276,13,20375252,INXN,-0.013793103,0.013793103,0.027586207,-0.030344828
TEUCRIUM COMMODITY TRUST,2011-02-01,New York Stock Exchange,1000000000,25,40000000,NAGS,0.002822661,-0.04435476,-0.096370931,-0.033064477
NEOPHOTONICS CORP,2011-02-02,New York Stock Exchange,82500000,11,7500000,NPTN,-0.033571429,0.195,0.300714214,-0.246428571
"PACIRA PHARMACEUTICALS, INC.",2011-02-03,NASDAQ,42000000,7,6000000,PCRX,0.01,-0.045714286,0.007142857,0.497142857
"BG MEDICINE, INC.",2011-02-04,NASDAQ,35000000,7,5000000,BGMD,0.257142893,0.142857143,0.248571393,0.06
ENDOCYTE INC,2011-02-04,NASDAQ,75000000,6,12500000,ECYT,0.1953125,0.1296875,0.15625,0.875
"GEVO, INC.",2011-02-09,NASDAQ,107250000,15,7150000,GEVO,0.081185567,0.111469072,0.217783505,0.320231959
"SUMMIT HOTEL PROPERTIES, INC.",2011-02-09,New York Stock Exchange,253500000,9.75,26000000,INN,-0.045454545,0.009090909,-0.013131313,0.112121212
ACELRX PHARMACEUTICALS INC,2011-02-11,NASDAQ,40000000,5,8000000,ACRX,-0.094,-0.238,-0.362,-0.342
TEUCRIUM COMMODITY TRUST,2011-02-23,New York Stock Exchange,750000000,50,15000000,CRUD,0.013861406,0.029306931,0.048316812,-0.025148515
"HCA HEALTHCARE, INC.",2011-03-10,New York Stock Exchange,3786000000,30,126200000,HCA,-0.022435929,0.010897436,0.0666666,0.089102529
MAGNACHIP SEMICONDUCTOR CORP,2011-03-11,New York Stock Exchange,133000000,14,9500000,MX,0.001428571,-0.001428571,-0.01,-0.011428571
CORNERSTONE ONDEMAND INC,2011-03-17,NASDAQ,136500000,13,10500000,CSOD,0.066666722,-0.000555556,0.010555611,0.061111111
"SERVICESOURCE INTERNATIONAL, INC.",2011-03-25,NASDAQ,119401330,10,11940133,SREV,-0.084249084,-0.10989011,-0.145054945,0.38021978
APOLLO GLOBAL MANAGEMENT LLC,2011-03-30,New York Stock Exchange,565393621,19,29757559,APO,-0.034759463,-0.036898447,-0.0315508,-0.143850313
"GNC HOLDINGS, INC.",2011-04-01,New York Stock Exchange,360000000,16,22500000,GNC,0.010240964,0.059036145,0.15120488,0.236747048
SANDRIDGE ENERGY INC,2011-04-07,New York Stock Exchange,315000000,21,15000000,SDT,0.104827632,0.140229839,0.148965517,0.239080506
